country,year,variable,cutpoint,y_r,n,survey,cc_rank,firstyr,lastyr,variable_cp,ccode,tcode,qcode,rcode,ktcode,tq,year_obs
United States,1982,l_single2,1,803,1764,usgss,383,1969,2016,l_single2_gt1,1,18,6,6,18,270,40
United States,1982,l_ncca4,1,1179,1359,anes_combo,383,1969,2016,l_ncca4_gt1,1,18,7,7,18,270,40
United States,1982,l_ncca4,2,761,1359,anes_combo,383,1969,2016,l_ncca4_gt2,1,18,7,8,18,270,40
United States,1982,l_ncca4,3,495,1359,anes_combo,383,1969,2016,l_ncca4_gt3,1,18,7,9,18,270,40
United States,1982,l_any2,1,678,1760,usgss,383,1969,2016,l_any2_gt1,1,18,8,10,18,270,40
United States,1982,a_health2,1,1935,2190,evs_combo,383,1969,2016,a_health2_gt1,1,18,10,12,18,270,40
United States,1982,a_defect2,1,1242,2057,evs_combo,383,1969,2016,a_defect2_gt1,1,18,11,13,18,270,40
United States,1982,just10,1,1274,2277,evs_combo,383,1969,2016,just10_gt1,1,18,12,14,18,270,40
United States,1982,just10,2,1140,2277,evs_combo,383,1969,2016,just10_gt2,1,18,12,15,18,270,40
United States,1982,just10,3,993,2277,evs_combo,383,1969,2016,just10_gt3,1,18,12,16,18,270,40
United States,1982,just10,4,880,2277,evs_combo,383,1969,2016,just10_gt4,1,18,12,17,18,270,40
United States,1982,just10,5,462,2277,evs_combo,383,1969,2016,just10_gt5,1,18,12,18,18,270,40
United States,1982,just10,6,356,2277,evs_combo,383,1969,2016,just10_gt6,1,18,12,19,18,270,40
United States,1982,just10,7,263,2277,evs_combo,383,1969,2016,just10_gt7,1,18,12,20,18,270,40
United States,1982,just10,8,156,2277,evs_combo,383,1969,2016,just10_gt8,1,18,12,21,18,270,40
United States,1982,just10,9,100,2277,evs_combo,383,1969,2016,just10_gt9,1,18,12,22,18,270,40
United States,1982,a_single2,1,525,2055,evs_combo,383,1969,2016,a_single2_gt1,1,18,13,23,18,270,40
United States,1982,a_nomore2,1,524,2129,evs_combo,383,1969,2016,a_nomore2_gt1,1,18,14,24,18,270,40
United States,1983,l_defect2,1,1194,1514,usgss,383,1969,2016,l_defect2_gt1,1,19,1,1,19,270,40
United States,1983,l_nomore2,1,592,1520,usgss,383,1969,2016,l_nomore2_gt1,1,19,2,2,19,270,40
United States,1983,l_health2,1,1364,1520,usgss,383,1969,2016,l_health2_gt1,1,19,3,3,19,270,40
United States,1983,l_poor2,1,658,1507,usgss,383,1969,2016,l_poor2_gt1,1,19,4,4,19,270,40
United States,1983,l_rape2,1,1246,1504,usgss,383,1969,2016,l_rape2_gt1,1,19,5,5,19,270,40
United States,1983,l_single2,1,588,1493,usgss,383,1969,2016,l_single2_gt1,1,19,6,6,19,270,40
United States,1983,l_any2,1,519,1515,usgss,383,1969,2016,l_any2_gt1,1,19,8,10,19,270,40
United States,1984,l_defect2,1,1140,1421,usgss,383,1969,2016,l_defect2_gt1,1,20,1,1,20,270,40
United States,1984,l_nomore2,1,606,1420,usgss,383,1969,2016,l_nomore2_gt1,1,20,2,2,20,270,40
United States,1984,l_health2,1,1281,1431,usgss,383,1969,2016,l_health2_gt1,1,20,3,3,20,270,40
United States,1984,l_poor2,1,654,1414,usgss,383,1969,2016,l_poor2_gt1,1,20,4,4,20,270,40
United States,1984,l_rape2,1,1130,1406,usgss,383,1969,2016,l_rape2_gt1,1,20,5,5,20,270,40
United States,1984,l_single2,1,628,1420,usgss,383,1969,2016,l_single2_gt1,1,20,6,6,20,270,40
United States,1984,l_ncca4,1,1883,2171,anes_combo,383,1969,2016,l_ncca4_gt1,1,20,7,7,20,270,40
United States,1984,l_ncca4,2,1225,2171,anes_combo,383,1969,2016,l_ncca4_gt2,1,20,7,8,20,270,40
United States,1984,l_ncca4,3,791,2171,anes_combo,383,1969,2016,l_ncca4_gt3,1,20,7,9,20,270,40
United States,1984,l_any2,1,548,1420,usgss,383,1969,2016,l_any2_gt1,1,20,8,10,20,270,40
United States,1985,l_defect2,1,1167,1486,usgss,383,1969,2016,l_defect2_gt1,1,21,1,1,21,270,40
United States,1985,l_nomore2,1,600,1488,usgss,383,1969,2016,l_nomore2_gt1,1,21,2,2,21,270,40
United States,1985,l_health2,1,1332,1491,usgss,383,1969,2016,l_health2_gt1,1,21,3,3,21,270,40
United States,1985,l_poor2,1,650,1488,usgss,383,1969,2016,l_poor2_gt1,1,21,4,4,21,270,40
United States,1985,l_rape2,1,1197,1474,usgss,383,1969,2016,l_rape2_gt1,1,21,5,5,21,270,40
United States,1985,l_single2,1,612,1486,usgss,383,1969,2016,l_single2_gt1,1,21,6,6,21,270,40
United States,1985,l_any2,1,547,1481,usgss,383,1969,2016,l_any2_gt1,1,21,8,10,21,270,40
United States,1986,l_ncca4,1,1837,2120,anes_combo,383,1969,2016,l_ncca4_gt1,1,22,7,7,22,270,40
United States,1986,l_ncca4,2,1223,2120,anes_combo,383,1969,2016,l_ncca4_gt2,1,22,7,8,22,270,40
United States,1986,l_ncca4,3,833,2120,anes_combo,383,1969,2016,l_ncca4_gt3,1,22,7,9,22,270,40
United States,1987,l_defect2,1,1360,1744,usgss,383,1969,2016,l_defect2_gt1,1,23,1,1,23,270,40
United States,1987,l_nomore2,1,714,1742,usgss,383,1969,2016,l_nomore2_gt1,1,23,2,2,23,270,40
United States,1987,l_health2,1,1535,1746,usgss,383,1969,2016,l_health2_gt1,1,23,3,3,23,270,40
United States,1987,l_poor2,1,778,1742,usgss,383,1969,2016,l_poor2_gt1,1,23,4,4,23,270,40
United States,1987,l_rape2,1,1376,1729,usgss,383,1969,2016,l_rape2_gt1,1,23,5,5,23,270,40
United States,1987,l_single2,1,700,1745,usgss,383,1969,2016,l_single2_gt1,1,23,6,6,23,270,40
United States,1987,l_any2,1,679,1730,usgss,383,1969,2016,l_any2_gt1,1,23,8,10,23,270,40
United States,1988,l_defect2,1,744,944,usgss,383,1969,2016,l_defect2_gt1,1,24,1,1,24,270,40
United States,1988,l_nomore2,1,379,949,usgss,383,1969,2016,l_nomore2_gt1,1,24,2,2,24,270,40
United States,1988,l_health2,1,836,942,usgss,383,1969,2016,l_health2_gt1,1,24,3,3,24,270,40
United States,1988,l_poor2,1,395,941,usgss,383,1969,2016,l_poor2_gt1,1,24,4,4,24,270,40
United States,1988,l_rape2,1,749,924,usgss,383,1969,2016,l_rape2_gt1,1,24,5,5,24,270,40
United States,1988,l_single2,1,367,932,usgss,383,1969,2016,l_single2_gt1,1,24,6,6,24,270,40
United States,1988,l_ncca4,1,1743,1996,anes_combo,383,1969,2016,l_ncca4_gt1,1,24,7,7,24,270,40
United States,1988,l_ncca4,2,1081,1996,anes_combo,383,1969,2016,l_ncca4_gt2,1,24,7,8,24,270,40
United States,1988,l_ncca4,3,711,1996,anes_combo,383,1969,2016,l_ncca4_gt3,1,24,7,9,24,270,40
United States,1988,l_any2,1,338,936,usgss,383,1969,2016,l_any2_gt1,1,24,8,10,24,270,40
United States,1989,l_defect2,1,1787,2270,cbsnyt198905,383,1969,2016,l_defect2_gt1,1,25,1,1,25,270,40
United States,1989,l_nomore2,1,441,991,usgss,383,1969,2016,l_nomore2_gt1,1,25,2,2,25,270,40
United States,1989,l_health2,1,2129,2322,cbsnyt198905,383,1969,2016,l_health2_gt1,1,25,3,3,25,270,40
